,code,title,pointsR1,pointsR2,LEVEL
708,GY516,Mental Health Nursing,440,,8
709,GY517,Midwifery,495,,8
710,ID001,Accounting and Finance,203,,8
711,ID002,Business Studies,294,,8
712,LC110,"Art and Design (Common Entry, portfolio)",740,,8
713,LC114,Fashion and Textiles for Product and Costume (portfolio),880,,8
714,LC115,Art and Design Teacher Education (portfolio),942,,8
715,LC220,Digital Marketing,262,,8
718,LC223,Law and Taxation,307,,8
719,LC224,Accounting and Finance,300,,8
720,LC225,Marketing and Management,298,,8
721,LC226,Enterprise and Innovation,234,234,8
724,LC233,Software Development,272,,8
725,LC234,Interactive Digital Media,225,,8
727,LC236,Internet Systems Development,262,260,8
728,LC239,Computer Networks and Systems Management,307,,8
729,LC241,Construction Management,255,,8
730,LC242,Property Valuation and Management,282,,8
731,LC243,Quantity Surveying,294,,8
732,LC248,Built Environment (Common Entry),288,,8
734,LC252,Civil Engineering Management,270,,8
737,LC263,Clinical Technology,294,,8
738,LC265,Forensic and Pharmaceutical Sciences,413,,8
739,LC266,Drug and Medicinal Product Analysis,262,,8
744,LC275,Electrical Engineering,298,,8
754,LC288,Mechanical Engineering,347,346,8
755,LC289,Precision Engineering,291,,8
757,LC292,Social Care Work,367,,8
758,LC293,Business Studies with Travel and Tourism Management,307,,8
759,LC294,Business Studies with Event Management,279,,8
760,LC295,Business Studies with Sports Management,252,,8
761,LC297,Community Development,235,,8
762,LC320,Business,346,,8
763,LC330,Business with Computing,297,,8
765,LC340,Interior Design,350,,8
766,LC362,Biotechnology and Biopharmaceutical Sciences,413,,8
767,LC371,Creative Broadcast and Film Production,309,,8
768,LC372,Music Technology and Production,325,,8
769,LC374,Renewable and Electrical Energy Engineering,318,,8
770,LC375,Industrial Automation and Robotic Systems,317,,8
771,LC376,Electronic Engineering,318,,8
772,LC380,Automotive Engineering and Transport Management,303,298,8
773,LC392,Business Studies in Beauty and Spa Management,236,,8
774,LC393,Early Childhood Education and Care,236,,8
777,LC401,Early Childhood Education and Care,297,,8
778,LC402,Social Care Work,225,,8
779,LC408,Environmental Science and Climate,279,,8
780,LC414,Data Analytics and Cyber Security,236,,8
782,LC416,Business,274,,8
783,LC418,Computing - Games Design and Development,270,,8
784,LC422,Sports Strength and Conditioning,298,,8
789,LC434,Environmental Science and Agriculture,297,,8
790,LC502,Game Art and Design (portfolio),852,,8
792,LC517,Creative Media and Design,234,,8
793,LC518,Digital Animation Production (portfolio),808,,8
797,LC612,Social Care Work,320,,8
798,LC613,Early Childhood Education and Care,242,,8
799,LM002,Arts,348,,8
800,LM020,Law and Accounting,465,,8
801,LM026,Performing Arts (audition required),303,,8
802,LM028,Criminal Justice,418,,8
803,LM029,Law Plus,490,,8
804,LM038,Psychology and Sociology,500,,8
805,LM039,Journalism and Digital Communication,402,,8
806,LM040,European Studies,369,,8
807,LM044,Applied Languages,442,,8
808,LM050,Business Studies (options),431,,8
809,LM056,International Business,528,,8
810,LM058,Financial Mathematics,403,,8
811,LM063,Technology Management,379,,8
812,LM068,Food Science and Health,421,,8
813,LM076,Product Design and Technology (portfolio required),408,,8
814,LM077,Aeronautical Engineering,520,,8
815,LM082,Construction Management and Engineering,398,,8
816,LM089,Sport and Exercise Sciences,474,,8
817,LM090,Physical Education with concurrent Teacher Education,532,,8
818,LM091,Languages with concurrent Teacher Education,517,,8
819,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,,8
820,LM093,Equine Science,339,,8
821,LM094,Materials and Architectural Technology with concurrent Teacher Education,440,,8
822,LM095,Materials and Engineering Technology with concurrent Teacher Education,367,,8
823,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,,8
824,LM097,Mathematics and Computer Science with concurrent Teacher Education,402,,8
825,LM099,Architecture (portfolio requirement suspended),498,,8
826,LM100,Physiotherapy,589,,8
827,LM101,Medicine  - Graduate Entry (GAMSAT required),55,,8
828,LM102,Psychology,509,,8
829,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,,8
830,LM115,Chemical and Biochemical Engineering,454,,8
831,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,,8
832,LM118,Electronic and Computer Engineering,403,,8
833,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,,8
834,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,,8
835,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,,8
836,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,,8
837,LM125,Physics (Applied Physics or Mathematics & Physics),404,,8
838,LM150,General Nursing,475,,8
839,LM152,Mental Health Nursing,419,,8
840,LM154,Intellectual Disability Nursing,420,,8
841,LM156,Midwifery,469,,8
844,LY108,Business - Accounting,309,,8
845,LY118,Business,290,,8
848,LY208,Law,300,,8
849,LY228,Sports and Exercise - Common Entry,300,,8
852,LY408,Design - Common Entry,320,,8
858,LY508,Fire Safety Engineering,276,,8
859,LY518,Quantity Surveying,301,,8
861,LY528,Construction Management,271,,8
863,LY608,Mechanical Engineering,300,,8
865,LY618,Electronic Engineering,312,,8
867,LY708,Applied Computing,306,,8
870,LY748,Computer Science,317,317,8
874,LY818,Science - Common Entry,303,,8
876,LY828,Agriculture - Common Entry,307,,8
884,LY908,General Nursing,400,,8
886,LY918,Psychiatric Nursing,357,,8
887,LY928,Intellectual Disability Nursing,326,,8
888,LY968,"Early Childhood Care, Health and Education",303,,8
889,LY978,Health & Social Care - Common Entry,280,,8
890,MH001,Education - Primary Teaching (Froebel),507,,8
891,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,8
892,MH101,Arts,318,,8
893,MH103,Music,#,,8
894,MH106,Psychology - 3 years,521,,8
895,MH107,Social Science,346,,8
896,MH109,Media Studies,316,,8
897,MH116,Community and Youth Work (Full-Time),#,,8
898,MH201,Science,360,,8
899,MH202,Biotechnology,455,,8
900,MH203,Biological and Geographical Sciences,430,,8
901,MH204,Physics with Astrophysics,422,,8
902,MH206,Theoretical Physics and Mathematics,510,,8
903,MH207,Data Science,445,,8
904,MH208,Biological and Biomedical Sciences,498,,8
905,MH209,Psychology (through Science) - 4 years,498,,8
906,MH210,Pharmaceutical and Biomedical Chemistry,487,,8
907,MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,,8
908,MH304,Engineering (Computer/Electronic/Communications),333,333,8
909,MH305,Product Design,357,,8
910,MH306,Robotics and Intelligent Devices,361,,8
911,MH401,Finance (options),357,,8
912,MH402,Quantitative Finance,476,,8
913,MH403,Accounting and Finance,422,,8
914,MH404,Business (options),430,,8
915,MH405,Equine Business,357,,8
916,MH407,Business and Accounting,420,,8
917,MH411,Entrepreneurship,371,,8
918,MH501,LLB Law - four year Single Major Law programme,473,,8
919,MH502,Law (options),451,,8
920,MH601,Computer Science through Arts (options),352,,8
921,MH602,Computer Science through Science (options),351,,8
922,MH603,Computational Thinking,532,,8
923,MH801,Early Childhood - Teaching and Learning (part-time),327,,8
924,MH802,"Community and Youth Work (part-time, in service)",#,#,8
925,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",#,#,8
926,MI001,Contemporary & Applied Theatre Studies,375,,8
927,MI002,Arts,300,281,8
928,MI004,Education - Primary Teaching - International,577,,8
929,MI005,Education - Primary Teaching,495,,8
930,MI006,Education - Primary Teaching - Gaeltacht Applicants,456,,8
931,MI007,Early Childhood Care and Education,357,,8
932,MI008,Education and Psychology - Primary Teaching,588,,8
933,MI009,"Education, Business Studies and Accounting",402,,8
934,MI010,"Education, Business Studies and Religious Studies",368,,8
935,MI011,"Education, Gaeilge and Religious Studies",409,,8
936,MI012,"Education, Gaeilge and Business Studies",401,,8
937,MI013,"Education, Mathematics and Gaeilge",444,,8
938,MI014,"Education, Mathematics and Business Studies",434,,8
939,MU001,Theology and Arts,290,290,8
940,MU002,Theology,440,,8
941,NC003,Computing (Degree Award options),260,,8
942,NC005,Human Resource Management,300,,8
943,NC009,Business,300,,8
944,NC010,Psychology,400,,8
945,NC020,Marketing Practice,280,,8
946,NC022,Accounting and Finance,337,,8
947,NC023,Technology Management (with specialisations),261,,8
952,NM801,Montessori Education,220,,8
955,PC405,"Social, Political and Community Studies",253,216,8
956,PC410,Arts and Humanities (fulfils Teaching Council requirements),252,209,8
957,PC411,English and History (fulfils Teaching Council requirements),255,209,8
958,RC001,Medicine - Undergraduate Entry (HPAT required),733,,8
959,RC004,Physiotherapy,566,,8
960,RC005,Pharmacy,579,,8
961,RC101,Medicine - Graduate Entry (GAMSAT required),,,8
970,SG141,Business,261,,8
971,SG142,Business in International Marketing and Languages (French),279,,8
972,SG144,Business in International Marketing and Languages (Spanish),270,,8
973,SG146,Accounting,309,,8
974,SG147,Sport with Business,307,,8
975,SG148,Tourism with Event Management,269,,8
980,SG241,Performing Arts,328,,8
981,SG242,Early Childhood Care and Education,279,,8
982,SG243,Social Care Practice,301,,8
983,SG244,Fine Art,505,,8
984,SG245,Creative Design,282,,8
985,SG246,Computing,290,,8
986,SG247,English and Psychology,309,,8
987,SG248,Sociology and Politics,281,,8
988,SG249,Writing and Literature,297,,8
989,SG250,Application Design and User Experience,412,,8
990,SG251,Computing (Smart Technologies),327,,8
991,SG252,Software Development,307,,8
992,SG253,Computer Networks and Cloud Infrastructure,324,,8
993,SG254,Writing and Literature Online,225,225,8
1005,SG342,Civil Engineering,415,,8
1006,SG343,Quantity Surveying,311,,8
1007,SG346,Construction Project Management and Applied Technology,291,,8
1008,SG347,Architecture,360,,8
1009,SG348,Interior Architecture and Design,316,,8
1020,SG442,Occupational Safety and Health,290,,8
1021,SG443,Human Nutrition,356,,8
1022,SG444,Science Undenominated,338,,8
1023,SG445,Pharmaceutical Science with Drug Development,311,,8
1024,SG447,Health Science and Physical Activity,328,,8
1025,SG448,Forensic Investigation and Analysis,306,,8
1026,SG449,Medical Biotechnology,341,,8
1027,SG450,Environmental Science with Ecology (Level 8),300,,8
1054,TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,,8
1055,TL802,"TV, Radio and New Media (Level 8)",325,,8
1056,TL810,Computing with Software Development,310,,8
1057,TL811,Computing with Games Development,358,,8
1058,TL815,Computing (Degree Award options),308,,8
1059,TL823,Event Management (3 year programme),299,,8
1060,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,,8
1061,TL844,Agricultural Engineering,300,,8
1062,TL845,Civil Engineering,325,,8
1063,TL847,Manufacturing Engineering,302,,8
1064,TL848,Agricultural Science,308,,8
1065,TL851,Wildlife Biology (Degree Award options),309,,8
1066,TL855,Pharmaceutical Science (Degree Award options),317,,8
1067,TL858,Veterinary Bioscience,308,,8
1068,TL871,Health and Leisure (Degree Award options),300,,8
1069,TL872,Health and Leisure with Massage,309,,8
1070,TL873,Coaching and Sports Performance,289,,8
1071,TL880,Early Childhood Care and Education,307,,8
1072,TL881,Social Care,308,,8
1073,TL889,Counselling with Addiction - Mature applicants only,,,8
1074,TL890,General Nursing and Mature Applicants,440,414,8
1075,TL891,Mental Health Nursing and Mature Applicants,389,378,8
1076,TR002,Music,435,429,8
1077,TR003,History,497,493,8
1078,TR004,Law,566,565,8
1079,TR005,Philosophy,442,,8
1080,TR006,Psychology,567,555,8
1081,TR007,Clinical Speech and Language Studies,529,,8
1082,TR009,Music Education,420,,8
1083,TR012,History and Political Science,555,554,8
1084,TR015,"Philosophy, Political Science, Economics and Sociology",589,,8
1085,TR016,Deaf Studies,340,,8
1086,TR017,Law and Business,602,,8
1087,TR018,Law and French,565,,8
1088,TR019,Law and German,543,542,8
1089,TR020,Law and Political Science,602,,8
1090,TR021,"Classics, Ancient History and Archaeology",370,,8
1091,TR022,Early and Modern Irish,398,,8
1092,TR023,English Studies,487,476,8
1093,TR024,European Studies,544,542,8
1094,TR025,Drama and Theatre Studies,564,530,8
1095,TR028,Ancient and Medieval History and Culture,342,,8
1096,TR029,Political Science and Geography,526,520,8
1097,TR031,Mathematics,531,,8
1098,TR032,Engineering,510,509,8
1099,TR033,Computer Science,509,,8
1100,TR034,Management Science and Information Systems Studies,613,,8
1101,TR035,Theoretical Physics,543,,8
1102,TR038,Engineering with Management,532,,8
1103,TR039,Computer Science and Language,454,424,8
1104,TR040,Middle Eastern and European Languages and Cultures,466,,8
1105,TR041,Religion,368,,8
1106,TR042,Film,489,476,8
1107,TR043,History of Art and Architecture,393,354,8
1108,TR051,Medicine (HPAT required),735,734,8
1109,TR052,Dental Science,613,613,8
1110,TR053,Physiotherapy,566,566,8
1111,TR054,Occupational Therapy,533,,8
1112,TR055,Radiation Therapy,543,,8
1113,TR056,Human Health and Disease,565,,8
1114,TR060,Biological and Biomedical Sciences,543,543,8
1115,TR061,Chemical Sciences,517,510,8
1116,TR062,Geography and Geoscience,473,,8
1117,TR063,Physical Sciences,498,498,8
1118,TR072,Pharmacy,590,,8
1119,TR080,Global Business,589,,8
1120,TR081,"Business, Economic and Social Studies (BESS)",543,543,8
1121,TR082,Computer Science and Business,555,,8
1122,TR083,Sociology and Social Policy,498,487,8
1123,TR084,Social Studies (Social Work),462,,8
1124,TR085,Business Studies and French,540,531,8
1125,TR086,Business Studies and German,509,499,8
1126,TR087,Business Studies and Russian,474,465,8
1127,TR089,Business Studies and Polish,444,424,8
1128,TR090,Business Studies and Spanish,531,,8
1129,TR091,General Nursing (Meath and St James`s),429,,8
1130,TR093,General Nursing (Adelaide School of Nursing),430,429,8
1131,TR095,Mental Health Nursing,408,,8
1132,TR097,Intellectual Disability Nursing,396,,8
1133,TR111,Ancient History and Archaeology/Geography,352,,8
1134,TR112,Ancient History and Archaeology/History,529,,8
1135,TR113,Ancient History and Archaeology/History of Art and Architecture,337,,8
1136,TR114,Ancient History and Archaeology/Modern Language,337,,8
1137,TR117,Ancient History and Archaeology/Religion,342,,8
1138,TR166,Classical Civilisation/English Literature,498,496,8
1139,TR173,Classical Civilisation/History of Art and Architecture,335,,8
1140,TR177,Classical Civilisation/Modern Language,335,,8
1141,TR179,Classical Civilisation/Philosophy,499,,8
1142,TR198,Economics/Geography,534,,8
1143,TR202,Economics/History,534,,8
1144,TR207,Economics/Mathematics,566,,8
1145,TR208,Economics/Modern Language,534,,8
1146,TR209,Economics/Philosophy,534,,8
1147,TR212,Economics/Sociology,534,,8
1148,TR228,Classical Languages/English Literature,498,,8
1149,TR231,Classical Languages/History of Art and Architecture,349,,8
1150,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,,8
1151,TR239,Classical Languages/Modern Language,349,,8
1152,TR262,English Literature/History,529,,8
1153,TR263,English Literature/History of Art and Architecture,498,497,8
1154,TR269,English Literature/Philosophy,499,,8
1155,TR272,English Literature/Sociology,498,,8
1156,TR276,English Literature/Drama Studies,#498,,8
1157,TR277,English Literature/Modern Language,498,495,8
1158,TR311,Film/Drama Studies,#521,,8
1159,TR312,Film/English Literature,521,,8
1160,TR320,Film/Music,521,,8
1161,TR322,Geography/History,529,,8
1162,TR323,Drama Studies/Modern Language,#473,,8
1163,TR324,Film/Modern Language,521,,8
1164,TR325,Film/History,529,,8
1165,TR326,Geography/Modern Language,352,,8
1166,TR332,Geography/Sociology,498,496,8
1167,TR443,History/History of Art and Architecture,529,,8
1168,TR447,History/Modern Language,529,,8
1169,TR449,History/Philosophy,529,,8
1170,TR452,History/Sociology,529,,8
1171,TR454,History/Religion,529,,8
1172,TR455,History of Art and Architecture/Modern Language,334,,8
1173,TR479,History of Art and Architecture/Philosophy,499,,8
1174,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,,8
1175,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,,8
1176,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,,8
1177,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,,8
1178,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,8
1179,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,,8
1180,TR597,Mathematics/Modern Language,566,,8
1181,TR598,Mathematics/Music,566,,8
1182,TR599,Mathematics/Philosophy,566,,8
1183,TR629,Music/Philosophy,499,,8
1184,TR635,Music/Drama Studies,#473,,8
1185,TR636,Music/Modern Language,388,,8
1186,TR638,Music/Religion,388,,8
1187,TR639,Philosophy/Modern Language,499,,8
1188,TR662,Philosophy/Sociology,499,,8
1189,TR663,Religion/Classical Civilisation,342,,8
1190,TR664,Religion/English Literature,498,,8
1191,TR665,Religion/History of Art and Architecture,342,,8
1192,TR666,Religion/Modern Language,,,8
1193,TR667,French/Modern Language,403,,8
1194,TR668,German/Modern Language,389,,8
1195,TR669,Irish/Modern Language,368,,8
1196,TR670,Italian/Modern Language,381,,8
1197,TR671,Russian/Modern Language,332,,8
1198,TR672,Spanish/Modern Language,336,,8
1199,TR755,Sociology/Drama Studies,#498,,8
1200,TR756,Sociology/Modern Language,498,495,8
1204,TR911,Children`s and General Nursing (Integrated),511,510,8
1205,TR913,Midwifery,478,477,8
1286,TU801,Biomedical Design,235,,8
1287,TU802,Electrical Services and Energy Management,317,300,8
1288,TU803,Electronic Engineering,243,243,8
1289,TU804,Engineering (Common Entry with Award options),271,,8
1290,TU805,Engineering (General Entry),402,,8
1291,TU806,Sustainable Energy Engineering,262,,8
1292,TU807,Computer Engineering in Mobile Systems,276,,8
1293,TU808,Engineering Software,260,260,8
1294,TU809,Mechanical Engineering,235,,8
1295,TU810,Mechatronic Engineering,270,,8
1296,TU811,Product Design,411,,8
1297,TU812,"Design,Technology and Innovation",270,,8
1298,TU813,Automation Engineering,218,218,8
1299,TU814,Transport Operations and Technology,285,251,8
1300,TU831,Architectural Technology,410,,8
1301,TU832,Architecture (Suitability Test and Interview),622,,8
1302,TU833,Construction Management,367,,8
1303,TU834,Geographic Science,288,,8
1304,TU835,Planning and Environmental Management,313,,8
1305,TU836,Property Economics (Valuation Surveying),401,,8
1306,TU837,Quantity Surveying and Construction Economics,385,,8
1307,TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,,8
1308,TU852,Chemical Sciences with Medicinal Chemistry,476,,8
1309,TU854,Science (General Entry),476,,8
1310,TU855,Science with Nanotechnology,331,319,8
1311,TU856,Computer Science,476,,8
1312,TU857,Computer Science (Infrastructure),391,,8
1313,TU858,Computer Science (International),377,,8
1314,TU859,Computing,217,234,8
1315,TU860,Computing (Information Technology),260,,8
1316,TU861,Computing with Language (French/German/Spanish),308,308,8
1317,TU862,Computing with Data Analytics,226,226,8
1318,TU863,Digital Forensics and Cyber Security,280,,8
1319,TU864,DNA and Forensic Analysis,400,390,8
1320,TU865,Computing with IT Management,226,,8
1321,TU866,Biomedical and Molecular Diagnostics,487,,8
1322,TU867,Biomedical Science,524,,8
1323,TU868,Clinical Measurement Science,510,,8
1324,TU869,Environmental Health,336,,8
1325,TU870,Human Nutrition and Dietetics,578,,8
1326,TU871,Optometry,509,,8
1327,TU872,Public Health Nutrition,491,,8
1328,TU873,Industrial Mathematics,250,250,8
1329,TU874,Mathematical Sciences,341,,8
1330,TU875,Pharmaceutical Healthcare,400,,8
1331,TU876,Pharmaceutical Science,377,349,8
1332,TU877,Physics Technology,308,,8
1333,TU878,Physics with Energy and Environment,337,337,8
1334,TU879,Physics with Medical Physics and Bioengineering,351,,8
1335,TU880,Physics with Data Science,578,,8
1336,TU881,Food Innovation,318,,8
1337,TU882,Nutraceuticals in Health and Nutrition,397,,8
1338,TU901,Business,270,,8
1339,TU902,Business (Common Entry with Award options),271,,8
1340,TU903,Business and Management,463,,8
1341,TU904,Business and Law,462,,8
1342,TU905,Economics and Finance,465,,8
1343,TU906,Human Resource Management,395,,8
1344,TU907,Logistics and Supply Chain Management,300,,8
1345,TU908,Management,262,253,8
1346,TU909,Accounting and Finance,285,,8
1347,TU910,Accounting and Finance,444,,8
1348,TU911,Accounting and Finance,209,192,8
1349,TU912,Business Analytics,330,,8
1350,TU913,Business and Information Technology,252,,8
1351,TU914,Business Computing,324,,8
1352,TU915,International Business,252,,8
1353,TU916,International Business,235,235,8
1354,TU917,Law (LLB ) with a Language,342,,8
1355,TU918,Law (LLB),451,,8
1356,TU919,Advertising and Marketing Communications,228,226,8
1357,TU920,Digital Marketing,270,,8
1358,TU921,Digital Marketing Technologies,212,212,8
1359,TU922,Marketing,418,,8
1360,TU923,Marketing Management,228,276,8
1361,TU924,E-Commerce in Retailing,307,,8
1362,TU925,Retail and Services Management,301,,8
1363,TU935,Sports Management and Coaching,300,,8
1364,TU936,Sports Science and Health,410,391,8
1365,TU941,Botanical Cuisine,249,,8
1366,TU942,Culinary Arts,212,212,8
1367,TU943,Culinary Entrepreneurship,278,,8
1368,TU944,Culinary Science,316,,8
1369,TU951,International Hospitality and Tourism Management,184,184,8
1370,TU952,International Hospitality Management,300,,8
1371,TU953,Tourism and Digital Marketing,290,,8
1372,TU954,Event Management,356,,8
1373,TU955,Sports & Leisure Management,217,317,8
1374,TU961,Commercial Modern Music,608,608,8
1375,TU962,Drama (Performance),379,,8
1376,TU963,Music,416,,8
1377,TU965,International Business and Languages,356,346,8
1378,TU966,Languages and English Studies,366,,8
1379,TU967,Languages and International Tourism,308,,8
1380,TU971,Contemporary Visual Culture,290,,8
1381,TU972,Creative and Cultural Industries,281,,8
1382,TU973,Design - Visual Communication,717,,8
1383,TU974,Fine Art,709,563,8
1384,TU975,Interior Design,632,,8
1385,TU976,Photography,695,,8
1386,TU981,Creative Digital Media,280,,8
1387,TU982,Creative Digital Media,320,311,8
1388,TU983,Film and Broadcasting,456,451,8
1389,TU984,Game Design,381,,8
1390,TU985,Journalism,322,,8
1391,TU986,Print Media Technology and Management,289,,8
1392,TU991,Applied Social Studies in Social Care,325,,8
1393,TU992,Community and Youth Development,251,,8
1394,TU993,Early Childhood Care and Education,270,,8
1395,TU994,Early Childhood Care and Education,321,251,8
1396,TU995,Early Childhood Education,367,,8
1397,TU996,Social Care,400,,8
1398,TU997,Applied Social Care,310,283,8
1399,WD001,Applied Computing (options),260,260,8
1400,WD002,Science (options),308,,8
1402,WD005,Health Sciences (options),280,,8
1403,WD006,Exercise Sciences (options),280,,8
1404,WD007,Engineering (options),288,288,8
1410,WD025,Construction Management and Engineering,269,,8
1411,WD027,Music,262,,8
1412,WD048,Business (options),271,,8
1414,WD084,Accounting,308,,8
1415,WD091,Hospitality Management,228,,8
1419,WD116,General Nursing,422,,8
1420,WD117,Psychiatric Nursing,366,,8
1421,WD120,Intellectual Disability Nursing,377,,8
1423,WD134,International Business,290,,8
1424,WD137,Design (Visual Communications),271,,8
1426,WD140,Laws,280,,8
1427,WD144,Architecture,284,,8
1428,WD147,Pharmaceutical Science,293,,8
1429,WD149,Early Childhood Studies,271,,8
1430,WD150,Criminal Justice Studies,270,,8
1432,WD152,Visual Art,AQA,,8
1436,WD161,Computer Forensics and Security,255,,8
1437,WD162,Quantity Surveying,216,,8
1438,WD163,Psychology,434,,8
1447,WD186,Sports Coaching and Performance,270,,8
1448,WD187,Social Science,272,,8
1450,WD191,Agricultural Science,377,,8
1451,WD192,Social Care Practice,270,,8
1452,WD193,Marketing and Digital Media,271,,8
1453,WD194,Culinary Arts,217,,8
1454,WD195,Architectural and Building Information Modelling Technology,279,,8
1455,WD200,Arts (options),AQA,AQA,8
1460,WD210,Software Systems Development,279,,8
1461,WD211,Creative Computing,271,,8
1462,WD212,Recreation and Sport Management,270,,8
1463,WD230,Mechanical and Manufacturing Engineering,253,,8
